# 2theta, Intensity
1.181999999999996120e+01,4.124175121968222391e-02
1.183999999999996078e+01,4.146781561355292189e-02
1.185999999999996035e+01,4.169671728783774789e-02
1.187999999999995993e+01,4.192852281750366478e-02
1.189999999999995950e+01,4.216330109316708541e-02
1.191999999999995907e+01,4.240112342435104625e-02
1.193999999999995865e+01,4.264206364825615103e-02
1.195999999999995822e+01,4.288619824438669181e-02
1.197999999999995779e+01,4.313360645539611460e-02
1.199999999999995737e+01,4.338437041454407117e-02
1.201999999999995694e+01,4.363857528018222354e-02
1.203999999999995651e+01,4.389630937771892699e-02
1.205999999999995609e+01,4.415766434954367797e-02
1.207999999999995566e+01,4.442273531342780246e-02
1.209999999999995524e+01,4.469162102995682256e-02
1.211999999999995481e+01,4.496442407958962245e-02
1.213999999999995438e+01,4.524125104998573399e-02
1.215999999999995396e+01,4.552221273428956605e-02
1.217999999999995353e+01,4.580742434111331057e-02
1.219999999999995310e+01,4.609700571701713656e-02
1.221999999999995268e+01,4.639108158234719892e-02
1.223999999999995225e+01,4.668978178135971269e-02
1.225999999999995183e+01,4.699324154763209749e-02
1.227999999999995140e+01,4.730160178584235514e-02
1.229999999999995097e+01,4.761500937108380238e-02
1.231999999999995055e+01,4.793361746697891168e-02
1.233999999999995012e+01,4.825758586395680061e-02
1.235999999999994969e+01,4.858708133917367944e-02
1.237999999999994927e+01,4.892227803967760802e-02
1.239999999999994884e+01,4.926335789055472092e-02
1.241999999999994841e+01,4.961051102994026157e-02
1.243999999999994799e+01,4.996393627294055950e-02
1.245999999999994756e+01,5.032384160668774975e-02
1.247999999999994714e+01,5.069044471894582071e-02
1.249999999999994671e+01,5.106397356289583273e-02
1.251999999999994628e+01,5.144466696096771513e-02
1.253999999999994586e+01,5.183277525083863219e-02
1.255999999999994543e+01,5.222856097700765560e-02
1.257999999999994500e+01,5.263229963166355524e-02
1.259999999999994458e+01,5.304428044891335708e-02
1.261999999999994415e+01,5.346480725681659885e-02
1.263999999999994373e+01,5.389419939209472155e-02
1.265999999999994330e+01,5.433279268284927493e-02
1.267999999999994287e+01,5.478094050514081131e-02
1.269999999999994245e+01,5.523901491985357126e-02
1.271999999999994202e+01,5.570740789690477313e-02
1.273999999999994159e+01,5.618653263456781233e-02
1.275999999999994117e+01,5.667682498246157802e-02
1.277999999999994074e+01,5.717874497763647534e-02
1.279999999999994031e+01,5.769277850416328762e-02
1.281999999999993989e+01,5.821943908772181375e-02
1.283999999999993946e+01,5.875926983790594887e-02
1.285999999999993904e+01,5.931284555232600036e-02
1.287999999999993861e+01,5.988077499811791937e-02
1.289999999999993818e+01,6.046370338818737866e-02
1.291999999999993776e+01,6.106231507144255916e-02
1.293999999999993733e+01,6.167733645844346996e-02
1.295999999999993690e+01,6.230953920633768017e-02
1.297999999999993648e+01,6.295974368971667123e-02
1.299999999999993605e+01,6.362882278714400430e-02
1.301999999999993562e+01,6.431770601663990006e-02
1.303999999999993520e+01,6.502738405741030625e-02
1.305999999999993477e+01,6.575891369965637667e-02
1.307999999999993435e+01,6.651342326947096151e-02
1.309999999999993392e+01,6.729211858172311211e-02
1.311999999999993349e+01,6.809628948055780617e-02
1.313999999999993307e+01,6.892731703482762873e-02
1.315999999999993264e+01,6.978668146458472110e-02
1.317999999999993221e+01,7.067597088487234669e-02
1.319999999999993179e+01,7.159689096468206670e-02
1.321999999999993136e+01,7.255127561234009370e-02
1.323999999999993094e+01,7.354109881405562765e-02
1.325999999999993051e+01,7.456848777026137132e-02
1.327999999999993008e+01,7.563573749513020916e-02
1.329999999999992966e+01,7.674532706877366939e-02
1.331999999999992923e+01,7.789993775972560430e-02
1.333999999999992880e+01,7.910247326812377966e-02
1.335999999999992838e+01,8.035608237841063151e-02
1.337999999999992795e+01,8.166418435544677001e-02
1.339999999999992752e+01,8.303049747097009103e-02
1.341999999999992710e+01,8.445907110991096589e-02
1.343999999999992667e+01,8.595432198012288583e-02
1.345999999999992625e+01,8.752107503695610857e-02
1.347999999999992582e+01,8.916460983869692325e-02
1.349999999999992539e+01,9.089071317378399906e-02
1.351999999999992497e+01,9.270573895032496736e-02
1.353999999999992454e+01,9.461667651826442815e-02
1.355999999999992411e+01,9.663122881147737098e-02
1.357999999999992369e+01,9.875790195966969998e-02
1.359999999999992326e+01,1.010061083391057130e-01
1.361999999999992284e+01,1.033862854205547521e-01
1.363999999999992241e+01,1.059100332498703473e-01
1.365999999999992198e+01,1.085902739835397091e-01
1.367999999999992156e+01,1.114414376269510093e-01
1.369999999999992113e+01,1.144796790238883366e-01
1.371999999999992070e+01,1.177231322698249899e-01
1.373999999999992028e+01,1.211922101314926170e-01
1.375999999999991985e+01,1.249099578332603516e-01
1.377999999999991942e+01,1.289024728259374197e-01
1.379999999999991900e+01,1.331994050307950261e-01
1.381999999999991857e+01,1.378345557456550907e-01
1.383999999999991815e+01,1.428465981742375601e-01
1.385999999999991772e+01,1.482799487538754568e-01
1.387999999999991729e+01,1.541858266043072689e-01
1.389999999999991687e+01,1.606235491875003252e-01
1.391999999999991644e+01,1.676621266166284652e-01
1.393999999999991601e+01,1.753822363426703335e-01
1.395999999999991559e+01,1.838786861282979135e-01
1.397999999999991516e+01,1.932635091132898775e-01
1.399999999999991473e+01,2.036698845230913157e-01
1.401999999999991431e+01,2.152571473254992207e-01
1.403999999999991388e+01,2.282172491788397317e-01
1.405999999999991346e+01,2.427831755512184775e-01
1.407999999999991303e+01,2.592400320636873978e-01
1.409999999999991260e+01,2.779398220414331933e-01
1.411999999999991218e+01,2.993214037756383172e-01
1.413999999999991175e+01,3.239378340581286486e-01
1.415999999999991132e+01,3.524944331381296148e-01
1.417999999999991090e+01,3.859027211849546668e-01
1.419999999999991047e+01,4.253583686778656392e-01
1.421999999999991005e+01,4.724563691514894193e-01
1.423999999999990962e+01,5.293654492758674834e-01
1.425999999999990919e+01,5.990993819108048069e-01
1.427999999999990877e+01,6.859509057596508974e-01
1.429999999999990834e+01,7.962029339770989589e-01
1.431999999999990791e+01,9.393093378973161878e-01
1.433999999999990749e+01,1.129829757798616496e+00
1.435999999999990706e+01,1.390411702099826563e+00
1.437999999999990663e+01,1.755742971535974029e+00
1.439999999999990621e+01,2.276094214269048344e+00
1.441999999999990578e+01,3.016381063483358549e+00
1.443999999999990536e+01,4.043472755692604004e+00
1.445999999999990493e+01,5.394538774006249149e+00
1.447999999999990450e+01,7.028342498425089069e+00
1.449999999999990408e+01,8.780698310650917549e+00
1.451999999999990365e+01,1.036236418975896711e+01
1.453999999999990322e+01,1.142926448997063282e+01
1.455999999999990280e+01,1.171102722530726403e+01
1.457999999999990237e+01,1.113162077755319501e+01
1.459999999999990195e+01,9.845618037077422002e+00
1.461999999999990152e+01,8.165479885102232771e+00
1.463999999999990109e+01,6.428528593728039198e+00
1.465999999999990067e+01,4.883775565528265084e+00
1.467999999999990024e+01,3.648588300021402553e+00
1.469999999999989981e+01,2.730450249268145058e+00
1.471999999999989939e+01,2.076769611156142670e+00
1.473999999999989896e+01,1.618830843387751184e+00
1.475999999999989853e+01,1.296237303700189525e+00
1.477999999999989811e+01,1.064481782432449286e+00
1.479999999999989768e+01,8.936163797758236438e-01
1.481999999999989726e+01,7.642679633458533406e-01
1.483999999999989683e+01,6.639657404732628443e-01
1.485999999999989640e+01,5.845533249237213624e-01
1.487999999999989598e+01,5.205577243508826557e-01
1.489999999999989555e+01,4.682026781218567302e-01
1.491999999999989512e+01,4.248129110301731570e-01
1.493999999999989470e+01,3.884477785794420157e-01
1.495999999999989427e+01,3.576699606715412760e-01
1.497999999999989384e+01,3.313953167477477479e-01
1.499999999999989342e+01,3.087928405877732874e-01
1.501999999999989299e+01,2.892163976436131767e-01
1.503999999999989257e+01,2.721571484876457170e-01
1.505999999999989214e+01,2.572097539291486878e-01
1.507999999999989171e+01,2.440479570362072415e-01
1.509999999999989129e+01,2.324066671879100321e-01
1.511999999999989086e+01,2.220686305868627419e-01
1.513999999999989043e+01,2.128543866865915124e-01
1.515999999999989001e+01,2.046146123526604854e-01
1.517999999999988958e+01,1.972242237204833437e-01
1.519999999999988916e+01,1.905777874544584694e-01
1.521999999999988873e+01,1.845859182172985280e-01
1.523999999999988830e+01,1.791724265130024141e-01
1.525999999999988788e+01,1.742720428715363590e-01
1.527999999999988745e+01,1.698285886079229645e-01
1.529999999999988702e+01,1.657934954523686000e-01
1.531999999999988660e+01,1.621245998209105421e-01
1.533999999999988617e+01,1.587851548500399945e-01
1.535999999999988574e+01,1.557430162680951413e-01
1.537999999999988532e+01,1.529699679229602205e-01
1.539999999999988489e+01,1.504411601819323763e-01
1.541999999999988447e+01,1.481346400756080317e-01
1.543999999999988404e+01,1.460309564142920624e-01
1.545999999999988361e+01,1.441128264843428430e-01
1.547999999999988319e+01,1.423648535695692663e-01
1.549999999999988276e+01,1.407732866145903483e-01
1.551999999999988233e+01,1.393258149839683435e-01
1.553999999999988191e+01,1.380113925714152034e-01
1.555999999999988148e+01,1.368200865521185250e-01
1.557999999999988106e+01,1.357429469051047999e-01
1.559999999999988063e+01,1.347718935052270861e-01
1.561999999999988020e+01,1.338996181294984933e-01
1.563999999999987978e+01,1.331194991662333627e-01
1.565999999999987935e+01,1.324255271782017462e-01
1.567999999999987892e+01,1.318122397687309655e-01
1.569999999999987850e+01,1.312746644450318578e-01
1.571999999999987807e+01,1.308082683759254905e-01
1.573999999999987764e+01,1.304089141095906013e-01
1.575999999999987722e+01,1.300728204572389746e-01
1.577999999999987679e+01,1.297965278658876620e-01
1.579999999999987637e+01,1.295768677016945203e-01
1.581999999999987594e+01,1.294109349480110638e-01
1.583999999999987551e+01,1.292960638920520877e-01
1.585999999999987509e+01,1.292298064330798246e-01
1.587999999999987466e+01,1.292099126950678745e-01
1.589999999999987423e+01,1.292343136693822891e-01
1.591999999999987381e+01,1.293011056493426625e-01
1.593999999999987338e+01,1.294085362495699110e-01
1.595999999999987295e+01,1.295549918296545755e-01
1.597999999999987253e+01,1.297389861645356357e-01
1.599999999999987210e+01,1.299591502236864538e-01
1.601999999999987168e+01,1.302142229381836325e-01
1.603999999999987125e+01,1.305030428494557693e-01
1.605999999999987082e+01,1.308245405462334365e-01
1.607999999999987040e+01,1.311777318073033272e-01
1.609999999999986997e+01,1.315617113772913904e-01
1.611999999999986954e+01,1.319756473111040052e-01
1.613999999999986912e+01,1.324187758299955053e-01
1.615999999999986869e+01,1.328903966386409397e-01
1.617999999999986827e+01,1.333898686582415671e-01
1.619999999999986784e+01,1.339166061356171500e-01
1.621999999999986741e+01,1.344700750926040023e-01
1.623999999999986699e+01,1.350497900839038867e-01
1.625999999999986656e+01,1.356553112349233869e-01
1.627999999999986613e+01,1.362862415341207500e-01
1.629999999999986571e+01,1.369422243570454778e-01
1.631999999999986528e+01,1.376229412015942677e-01
1.633999999999986485e+01,1.383281096160961232e-01
1.635999999999986443e+01,1.390574813037047386e-01
1.637999999999986400e+01,1.398108403882174777e-01
1.639999999999986358e+01,1.405880018279315191e-01
1.641999999999986315e+01,1.413888099654534991e-01
1.643999999999986272e+01,1.422131372025675633e-01
1.645999999999986230e+01,1.430608827903188662e-01
1.647999999999986187e+01,1.439319717254240183e-01
1.649999999999986144e+01,1.448263537449638316e-01
1.651999999999986102e+01,1.457440024120915667e-01
1.653999999999986059e+01,1.466849142861710864e-01
1.655999999999986017e+01,1.476491081713884601e-01
1.657999999999985974e+01,1.486366244384459412e-01
1.659999999999985931e+01,1.496475244144501726e-01
1.661999999999985889e+01,1.506818898365787918e-01
1.663999999999985846e+01,1.517398223655222755e-01
1.665999999999985803e+01,1.528214431550822539e-01
1.667999999999985761e+01,1.539268924746563794e-01
1.669999999999985718e+01,1.550563293816602795e-01
1.671999999999985675e+01,1.562099314412185025e-01
1.673999999999985633e+01,1.573878944907352029e-01
1.675999999999985590e+01,1.585904324471900939e-01
1.677999999999985548e+01,1.598177771552357906e-01
1.679999999999985505e+01,1.610701782743777233e-01
1.681999999999985462e+01,1.623479032037127290e-01
1.683999999999985420e+01,1.636512370428760965e-01
1.685999999999985377e+01,1.649804825880209214e-01
1.687999999999985334e+01,1.663359603617971250e-01
1.689999999999985292e+01,1.677180086764570033e-01
1.691999999999985249e+01,1.691269837293341849e-01
1.693999999999985207e+01,1.705632597300873188e-01
1.695999999999985164e+01,1.720272290592097519e-01
1.697999999999985121e+01,1.735193024574319121e-01
1.699999999999985079e+01,1.750399092457441685e-01
1.701999999999985036e+01,1.765894975758858787e-01
1.703999999999984993e+01,1.781685347112388629e-01
1.705999999999984951e+01,1.797775073381704114e-01
1.707999999999984908e+01,1.814169219079635187e-01
1.709999999999984865e+01,1.830873050095724042e-01
1.711999999999984823e+01,1.847892037735275883e-01
1.713999999999984780e+01,1.865231863074186813e-01
1.715999999999984738e+01,1.882898421634624786e-01
1.717999999999984695e+01,1.900897828387672905e-01
1.719999999999984652e+01,1.919236423089936971e-01
1.721999999999984610e+01,1.937920775962014286e-01
1.723999999999984567e+01,1.956957693717760183e-01
1.725999999999984524e+01,1.976354225954185806e-01
1.727999999999984482e+01,1.996117671912814862e-01
1.729999999999984439e+01,2.016255587624436463e-01
1.731999999999984396e+01,2.036775793450102956e-01
1.733999999999984354e+01,2.057686382032404837e-01
1.735999999999984311e+01,2.078995726672187849e-01
1.737999999999984269e+01,2.100712490146952327e-01
1.739999999999984226e+01,2.122845633988496572e-01
1.741999999999984183e+01,2.145404428238627537e-01
1.743999999999984141e+01,2.168398461703009983e-01
1.745999999999984098e+01,2.191837652724780983e-01
1.747999999999984055e+01,2.215732260500893891e-01
1.749999999999984013e+01,2.240092896965798774e-01
1.751999999999983970e+01,2.264930539268683041e-01
1.753999999999983928e+01,2.290256542872239620e-01
1.755999999999983885e+01,2.316082655302753313e-01
1.757999999999983842e+01,2.342421030583278219e-01
1.759999999999983800e+01,2.369284244383731142e-01
1.761999999999983757e+01,2.396685309923880236e-01
1.763999999999983714e+01,2.424637694667655663e-01
1.765999999999983672e+01,2.453155337849586837e-01
1.767999999999983629e+01,2.482252668876840374e-01
1.769999999999983586e+01,2.511944626653240809e-01
1.771999999999983544e+01,2.542246679874546333e-01
1.773999999999983501e+01,2.573174848347579702e-01
1.775999999999983459e+01,2.604745725389164823e-01
1.777999999999983416e+01,2.636976501364576841e-01
1.779999999999983373e+01,2.669884988429089279e-01
1.781999999999983331e+01,2.703489646540446767e-01
1.783999999999983288e+01,2.737809610814606054e-01
1.785999999999983245e+01,2.772864720301917996e-01
1.787999999999983203e+01,2.808675548266145738e-01
1.789999999999983160e+01,2.845263434054281504e-01
1.791999999999983118e+01,2.882650516651066863e-01
1.793999999999983075e+01,2.920859770018714996e-01
1.795999999999983032e+01,2.959915040329041402e-01
1.797999999999982990e+01,2.999841085202907265e-01
1.799999999999982947e+01,3.040663615079715609e-01
1.801999999999982904e+01,3.082409336848520032e-01
1.803999999999982862e+01,3.125105999881467311e-01
1.805999999999982819e+01,3.168782444620604766e-01
1.807999999999982776e+01,3.213468653879711923e-01
1.809999999999982734e+01,3.259195807034743209e-01
1.811999999999982691e+01,3.305996337289096587e-01
1.813999999999982649e+01,3.353903992213710383e-01
1.815999999999982606e+01,3.402953897776814229e-01
1.817999999999982563e+01,3.453182626094327135e-01
1.819999999999982521e+01,3.504628267149370591e-01
1.821999999999982478e+01,3.557330504748221212e-01
1.823999999999982435e+01,3.611330697000806889e-01
1.825999999999982393e+01,3.666671961635871169e-01
1.827999999999982350e+01,3.723399266485601378e-01
1.829999999999982307e+01,3.781559525500584606e-01
1.831999999999982265e+01,3.841201700684984677e-01
1.833999999999982222e+01,3.902376910373006602e-01
1.835999999999982180e+01,3.965138544301948231e-01
1.837999999999982137e+01,4.029542385974408947e-01
1.839999999999982094e+01,4.095646742842896093e-01
1.841999999999982052e+01,4.163512584894643598e-01
1.843999999999982009e+01,4.233203692263013962e-01
1.845999999999981966e+01,4.304786812545153829e-01
1.847999999999981924e+01,4.378331828564029915e-01
1.849999999999981881e+01,4.453911937376811570e-01
1.851999999999981839e+01,4.531603841401913857e-01
1.853999999999981796e+01,4.611487952614204411e-01
1.855999999999981753e+01,4.693648610842597324e-01
1.857999999999981711e+01,4.778174317297859131e-01
1.859999999999981668e+01,4.865157984561050974e-01
1.861999999999981625e+01,4.954697204376826147e-01
1.863999999999981583e+01,5.046894534720708370e-01
1.865999999999981540e+01,5.141857807748179132e-01
1.867999999999981497e+01,5.239700460386240710e-01
1.869999999999981455e+01,5.340541889497840700e-01
1.871999999999981412e+01,5.444507833737284308e-01
1.873999999999981370e+01,5.551730784423584142e-01
1.875999999999981327e+01,5.662350427990141544e-01
1.877999999999981284e+01,5.776514122827204334e-01
1.879999999999981242e+01,5.894377413620509598e-01
1.881999999999981199e+01,6.016104586609637428e-01
1.883999999999981156e+01,6.141869269547279853e-01
1.885999999999981114e+01,6.271855080540111871e-01
1.887999999999981071e+01,6.406256330399174859e-01
1.889999999999981029e+01,6.545278783629628894e-01
1.891999999999980986e+01,6.689140483752187283e-01
1.893999999999980943e+01,6.838072649281800031e-01
1.895999999999980901e+01,6.992320647401284450e-01
1.897999999999980858e+01,7.152145053171322653e-01
1.899999999999980815e+01,7.317822803024964795e-01
1.901999999999980773e+01,7.489648452321440164e-01
1.903999999999980730e+01,7.667935547895965431e-01
1.905999999999980687e+01,7.853018127862206876e-01
1.907999999999980645e+01,8.045252362423355175e-01
1.909999999999980602e+01,8.245018351156446768e-01
1.911999999999980560e+01,8.452722094183325874e-01
1.913999999999980517e+01,8.668797656870100843e-01
1.915999999999980474e+01,8.893709550249239149e-01
1.917999999999980432e+01,9.127955352287895341e-01
1.919999999999980389e+01,9.372068598496406944e-01
1.921999999999980346e+01,9.626621974254605529e-01
1.923999999999980304e+01,9.892230845722462806e-01
1.925999999999980261e+01,1.016955717139844007e+00
1.927999999999980218e+01,1.045931384242328344e+00
1.929999999999980176e+01,1.076226950674875171e+00
1.931999999999980133e+01,1.107925394048532519e+00
1.933999999999980091e+01,1.141116403933048140e+00
1.935999999999980048e+01,1.175897051422945649e+00
1.937999999999980005e+01,1.212372538866029581e+00
1.939999999999979963e+01,1.250657041056449037e+00
1.941999999999979920e+01,1.290874651045487154e+00
1.943999999999979877e+01,1.333160445922795256e+00
1.945999999999979835e+01,1.377661690543648954e+00
1.947999999999979792e+01,1.424539200317175069e+00
1.949999999999979750e+01,1.473968887942363359e+00
1.951999999999979707e+01,1.526143523529258417e+00
1.953999999999979664e+01,1.581274743055993026e+00
1.955999999999979622e+01,1.639595346822377842e+00
1.957999999999979579e+01,1.701361937766056931e+00
1.959999999999979536e+01,1.766857959591783489e+00
1.961999999999979494e+01,1.836397207124335740e+00
1.963999999999979451e+01,1.910327896778074797e+00
1.965999999999979408e+01,1.989037404389551567e+00
1.967999999999979366e+01,2.072957802006883288e+00
1.969999999999979323e+01,2.162572356068691359e+00
1.971999999999979281e+01,2.258423188751914168e+00
1.973999999999979238e+01,2.361120354861700577e+00
1.975999999999979195e+01,2.471352652238543168e+00
1.977999999999979153e+01,2.589900569488122084e+00
1.979999999999979110e+01,2.717651888227964996e+00
1.981999999999979067e+01,2.855620608416599371e+00
1.983999999999979025e+01,3.004970069710283909e+00
1.985999999999978982e+01,3.167041421155819325e+00
1.987999999999978940e+01,3.343388978525835942e+00
1.989999999999978897e+01,3.535824552578817226e+00
1.991999999999978854e+01,3.746473608436756031e+00
1.993999999999978812e+01,3.977847245402725829e+00
1.995999999999978769e+01,4.232935659320288480e+00
1.997999999999978726e+01,4.515331280526106106e+00
1.999999999999978684e+01,4.829393699566673526e+00
2.001999999999978641e+01,5.180474717568763765e+00
2.003999999999978598e+01,5.575232020654858012e+00
2.005999999999978556e+01,6.022077055725643113e+00
2.007999999999978513e+01,6.531832197908914672e+00
2.009999999999978471e+01,7.118724393886114221e+00
2.011999999999978428e+01,7.801934595918221582e+00
2.013999999999978385e+01,8.608078611116871670e+00
2.015999999999978343e+01,9.575225998503380964e+00
2.017999999999978300e+01,1.075928243089409264e+01
2.019999999999978257e+01,1.224337083211039356e+01
2.021999999999978215e+01,1.414923739449528561e+01
2.023999999999978172e+01,1.664514249621890229e+01
2.025999999999978129e+01,1.993675354440461689e+01
2.027999999999978087e+01,2.422085137670436339e+01
2.029999999999978044e+01,2.958876811543859375e+01
2.031999999999978002e+01,3.590083461043943203e+01
2.033999999999977959e+01,4.270717494721542806e+01
2.035999999999977916e+01,4.931832018393281203e+01
2.037999999999977874e+01,5.507470901666387419e+01
2.039999999999977831e+01,5.973223441652682908e+01
2.041999999999977788e+01,6.377444129293890995e+01
2.043999999999977746e+01,6.849723266447435321e+01
2.045999999999977703e+01,7.587680578223887551e+01
2.047999999999977661e+01,8.836279434838061775e+01
2.049999999999977618e+01,1.086771508241262723e+02
2.051999999999977575e+01,1.394648922108500813e+02
2.053999999999977533e+01,1.824609236849705383e+02
2.055999999999977490e+01,2.370059230060008986e+02
2.057999999999977447e+01,2.983844228917527062e+02
2.059999999999977405e+01,3.572219328800346716e+02
2.061999999999977362e+01,4.012439985153829412e+02
2.063999999999977319e+01,4.194564688479757706e+02
2.065999999999977277e+01,4.068382658108566261e+02
2.067999999999977234e+01,3.666835010421748962e+02
2.069999999999977192e+01,3.090146743667384044e+02
2.071999999999977149e+01,2.461370701423898879e+02
2.073999999999977106e+01,1.881242072449508669e+02
2.075999999999977064e+01,1.404986763184386405e+02
2.077999999999977021e+01,1.044651696317044838e+02
2.079999999999976978e+01,7.855793269025532766e+01
2.081999999999976936e+01,6.035596228959320086e+01
2.083999999999976893e+01,4.756261355103925581e+01
2.085999999999976851e+01,3.841906922356782417e+01
2.087999999999976808e+01,3.171850167859798475e+01
