# 2theta, Intensity
1.311999999999993349e+01,1.164934492273298795e-02
1.313999999999993307e+01,1.170306734332166899e-02
1.315999999999993264e+01,1.175732900240286649e-02
1.317999999999993221e+01,1.181213813012208999e-02
1.319999999999993179e+01,1.186750311977976396e-02
1.321999999999993136e+01,1.192343253176263683e-02
1.323999999999993094e+01,1.197993509758641696e-02
1.325999999999993051e+01,1.203701972405324568e-02
1.327999999999993008e+01,1.209469549752779406e-02
1.329999999999992966e+01,1.215297168833578620e-02
1.331999999999992923e+01,1.221185775528900799e-02
1.333999999999992880e+01,1.227136335034104651e-02
1.335999999999992838e+01,1.233149832337796133e-02
1.337999999999992795e+01,1.239227272714855249e-02
1.339999999999992752e+01,1.245369682233868694e-02
1.341999999999992710e+01,1.251578108279471392e-02
1.343999999999992667e+01,1.257853620090086492e-02
1.345999999999992625e+01,1.264197309311594630e-02
1.347999999999992582e+01,1.270610290567466584e-02
1.349999999999992539e+01,1.277093702045921375e-02
1.351999999999992497e+01,1.283648706104706036e-02
1.353999999999992454e+01,1.290276489894086678e-02
1.355999999999992411e+01,1.296978265998694271e-02
1.357999999999992369e+01,1.303755273098871660e-02
1.359999999999992326e+01,1.310608776652210684e-02
1.361999999999992284e+01,1.317540069595976235e-02
1.363999999999992241e+01,1.324550473071168556e-02
1.365999999999992198e+01,1.331641337168966606e-02
1.367999999999992156e+01,1.338814041700369176e-02
1.369999999999992113e+01,1.346069996989854647e-02
1.371999999999992070e+01,1.353410644693905582e-02
1.373999999999992028e+01,1.360837458645318410e-02
1.375999999999991985e+01,1.368351945724214161e-02
1.377999999999991942e+01,1.375955646756715257e-02
1.379999999999991900e+01,1.383650137442325040e-02
1.381999999999991857e+01,1.391437029311024670e-02
1.383999999999991815e+01,1.399317970711213416e-02
1.385999999999991772e+01,1.407294647829616073e-02
1.387999999999991729e+01,1.415368785744355526e-02
1.389999999999991687e+01,1.423542149512417067e-02
1.391999999999991644e+01,1.431816545292813325e-02
1.393999999999991601e+01,1.440193821506773053e-02
1.395999999999991559e+01,1.448675870036377974e-02
1.397999999999991516e+01,1.457264627463094805e-02
1.399999999999991473e+01,1.465962076347734552e-02
1.401999999999991431e+01,1.474770246553437983e-02
